id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,adjusted_price
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.2,5042263189.0,31,5042263189,215211026,4.24,4.11,0.0064814600000000005,0.15449000000000002,15082554.0,0.30002,1199999994.2,1199999994.2,2000000000.0,8.45,-50.34162,2024-12-27T11:41:24.992Z,0.014279499999999999,29286.83931,2020-06-25T04:17:05.895Z,,2025-03-12T21:20:23.309Z,4.2,5.04
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,13.04,4353109833.0,32,13035940854,54516387,14.14,12.71,-1.026700544152268,-7.29976,-360278314.5250225,-7.64372,333928180.0,999990391.0,1000000000.0,34.96,-62.76433,2024-12-22T03:56:00.276Z,3.81,241.77534,2024-11-29T09:30:30.871Z,,2025-03-12T21:20:18.075Z,13.04,15.647999999999998
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,28.77,4146244441.0,33,9471832259,69737552,29.32,28.64,-0.42528734813155805,-1.45667,-63665499.694820404,-1.51228,144118517.10815412,329229605.0,400000000.0,31.28,-8.03399,2025-03-02T22:22:36.852Z,3.06,839.44014,2023-02-13T19:01:21.899Z,,2025-03-12T21:20:27.059Z,28.77,34.524
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2018.75,3866125929.0,34,3866125929,22447572,2067.79,1956.78,-44.64533467800152,-2.16369,-127471027.86042166,-3.19189,1916028.722452772,1916028.722452772,,4311.81,-53.30853,2024-12-06T20:32:25.758Z,1889.13,6.57005,2025-03-11T00:55:51.837Z,,2025-03-12T21:20:17.296Z,2018.75,2422.5
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,208.93,3853612373.0,35,3853612373,54178207,213.2,204.89,-3.294217609644278,-1.5522200000000002,-59354683.23487091,-1.51687,18446744.07370955,18446744.07370955,,542.33,-61.47489,2018-01-09T00:00:00.000Z,0.21617699999999998,96548.51067,2015-01-14T00:00:00.000Z,,2025-03-12T21:20:19.699Z,208.93,250.716
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.87,3521609233.0,36,5864626976,216624394,6.21,5.77,-0.30609874821758704,-4.95947,-184695906.6178708,-4.98329,600483073.71,1000000000.0,1000000000.0,44.92,-86.96979,2021-05-03T05:25:04.822Z,1.03,468.15026,2020-09-17T01:20:38.214Z,,2025-03-12T21:20:27.301Z,5.87,7.044
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.043,3457015675.0,37,3457015675,1883031,1.044,1.041,-0.000336195392858,-0.03223,54734356.0,1.6087500000000001,3316257641.722088,3316257641.722088,,1.088,-4.17682,2025-02-03T02:31:35.208Z,0.9617159999999999,8.39729,2025-01-04T01:21:08.460Z,,2025-03-12T21:20:24.188Z,1.043,1.2515999999999998
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.9995839999999999,3205185419.0,38,3205185419,89446470,1.001,0.9990600000000001,0.00033115,0.03314,-13385351.90693283,-0.41588,3205896239.897585,3205896239.897585,,1.22,-17.97695,2020-03-13T03:02:50.373Z,0.8819600000000001,13.36162,2023-03-11T07:50:50.514Z,,2025-03-12T21:20:26.730Z,0.9995839999999999,1.1995007999999998
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.19,3066249534.0,39,5938618284,214078886,5.53,5.04,-0.332636365978412,-6.02099,-193502822.68902445,-5.93612,590670189.0089546,1143991950.319412,,19.92,-74.02888,2023-01-26T14:25:17.390Z,3.08,67.98359,2022-12-29T21:35:14.796Z,,2025-03-12T21:20:22.274Z,5.19,6.228000000000001
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.55,3035094845.0,40,3160805058,237127497,2.55,2.35,0.03357033,1.33254,38746853.0,1.29314,1190307900.0,1239609114.0,,20.44,-87.53074,2022-01-16T22:09:45.873Z,0.526762,383.80099,2020-11-04T16:09:15.137Z,,2025-03-12T21:20:20.124Z,2.55,3.0599999999999996
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,6.799999999999999e-06,2862544257.0,41,2862544257,939349089,6.78e-06,6.1599999999999995e-06,3.2238999999999996e-07,4.97464,137546969.0,5.0476,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-76.07468,2024-12-09T16:30:35.828Z,5.5142e-08,12060.939,2023-04-18T02:14:41.591Z,,2025-03-12T21:20:21.354Z,6.799999999999999e-06,8.159999999999998e-06
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.29,2763114830.0,42,2763114830,76633921,18.31,17.25,0.260795,1.44636,41733731.0,1.53355,151091166.5194495,151091166.5194495,210700000.0,167.09,-89.05237,2021-05-06T18:34:22.133Z,0.615038,2874.10752,2016-07-25T00:00:00.000Z,"{'times': 39.64864757769187, 'currency': 'usd', 'percentage': 3964.864757769187}",2025-03-12T21:20:16.987Z,18.29,21.947999999999997
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.8699629999999999,2747941331.0,43,8698473557,233152344,0.8920889999999999,0.8167500000000001,0.02151765,2.53613,68955521.0,2.57394,3159107529.0,10000000000.0,10000000000.0,2.14,-59.65614,2024-12-16T00:36:00.777Z,0.082171,950.76209,2024-01-18T12:14:30.524Z,,2025-03-12T21:20:20.594Z,0.8699629999999999,1.0439555999999999
